QuestionKey,Delta_TP9_mean,Delta_TP9_median,Delta_TP9_std,Delta_TP9_min,Delta_TP9_max,Delta_AF7_mean,Delta_AF7_median,Delta_AF7_std,Delta_AF7_min,Delta_AF7_max,Delta_AF8_mean,Delta_AF8_median,Delta_AF8_std,Delta_AF8_min,Delta_AF8_max,Delta_TP10_mean,Delta_TP10_median,Delta_TP10_std,Delta_TP10_min,Delta_TP10_max,Theta_TP9_mean,Theta_TP9_median,Theta_TP9_std,Theta_TP9_min,Theta_TP9_max,Theta_AF7_mean,Theta_AF7_median,Theta_AF7_std,Theta_AF7_min,Theta_AF7_max,Theta_AF8_mean,Theta_AF8_median,Theta_AF8_std,Theta_AF8_min,Theta_AF8_max,Theta_TP10_mean,Theta_TP10_median,Theta_TP10_std,Theta_TP10_min,Theta_TP10_max,Alpha_TP9_mean,Alpha_TP9_median,Alpha_TP9_std,Alpha_TP9_min,Alpha_TP9_max,Alpha_AF7_mean,Alpha_AF7_median,Alpha_AF7_std,Alpha_AF7_min,Alpha_AF7_max,Alpha_AF8_mean,Alpha_AF8_median,Alpha_AF8_std,Alpha_AF8_min,Alpha_AF8_max,Alpha_TP10_mean,Alpha_TP10_median,Alpha_TP10_std,Alpha_TP10_min,Alpha_TP10_max,Beta_TP9_mean,Beta_TP9_median,Beta_TP9_std,Beta_TP9_min,Beta_TP9_max,Beta_AF7_mean,Beta_AF7_median,Beta_AF7_std,Beta_AF7_min,Beta_AF7_max,Beta_AF8_mean,Beta_AF8_median,Beta_AF8_std,Beta_AF8_min,Beta_AF8_max,Beta_TP10_mean,Beta_TP10_median,Beta_TP10_std,Beta_TP10_min,Beta_TP10_max,Participant,ResponseTime,Category,ET_GazeLeftx_mean,ET_GazeLeftx_median,ET_GazeLeftx_std,ET_GazeLeftx_min,ET_GazeLeftx_max,ET_GazeLefty_mean,ET_GazeLefty_median,ET_GazeLefty_std,ET_GazeLefty_min,ET_GazeLefty_max,ET_GazeRightx_mean,ET_GazeRightx_median,ET_GazeRightx_std,ET_GazeRightx_min,ET_GazeRightx_max,ET_GazeRighty_mean,ET_GazeRighty_median,ET_GazeRighty_std,ET_GazeRighty_min,ET_GazeRighty_max,ET_PupilLeft_mean,ET_PupilLeft_median,ET_PupilLeft_std,ET_PupilLeft_min,ET_PupilLeft_max,ET_PupilRight_mean,ET_PupilRight_median,ET_PupilRight_std,ET_PupilRight_min,ET_PupilRight_max,ET_DistanceLeft_mean,ET_DistanceLeft_median,ET_DistanceLeft_std,ET_DistanceLeft_min,ET_DistanceLeft_max,ET_DistanceRight_mean,ET_DistanceRight_median,ET_DistanceRight_std,ET_DistanceRight_min,ET_DistanceRight_max,FixationCount,SaccadeCount,AvgFixationDuration,AvgSaccadeAmplitude,TotalScanpathLength,MeanGazeVelocity,MeanGazeAcceleration,StdGazeVelocity
1Item1,0.8275830202182285,0.8838275,0.18822818546740966,0.23953593,1.0633396,0.6142664091848523,0.7228674,0.46516978312643553,-0.3166561,1.1925479,0.8025914179994437,0.6917236,0.5703224707639521,-0.2745417,1.5454063,1.1256729379075738,1.1134244,0.20391725091127888,0.7867392,1.5108542,0.7328178729824562,0.7967785,0.20266595655943773,0.18706325,0.9592532,0.09618390719572101,0.08723069,0.4083284850853184,-0.41406965,0.672747,0.3170054590937099,0.42379457,0.5838534528089153,-0.5716076,1.0285283,0.9154368367907574,0.9294081,0.1134231115177174,0.49778366,1.0754106,0.8968791485537013,0.8978294,0.1671357422891246,0.6275344,1.157912,0.18407586373709883,0.3284118,0.3164500404294621,-0.3270421,0.6953427,0.42302759439982884,0.47342178,0.31282697509970436,-0.25562578,0.8165809,1.1923275714163457,1.1889601,0.10170291283065011,0.9174091,1.3125457,0.5696347450919982,0.57707185,0.10476094900964847,0.36102766,0.769283,-0.31611903389816004,-0.27785888,0.12057812281472732,-0.5397426,-0.09634551,-0.09888141436478391,-0.09898607,0.06802483096746574,-0.23956922,0.0066169766,1.2994108119383825,1.2925718,0.07635537817361175,1.1796348,1.5029538,1,7.654472,1,812.5043572984749,716.0,485.7715506652657,-1.0,1655.0,498.2124183006536,453.0,264.5978978050012,-1.0,1016.0,849.3278867102397,750.5,469.48931199151303,-1.0,1653.0,529.7287581699346,525.5,255.70166355032552,-1.0,1009.0,0.17743425223822168,-1.0,1.8228799701927787,-1.0,3.73455810546875,0.2792864032820159,-1.0,1.922967581502664,-1.0,3.4690093994140625,551.7193236506843,580.5030517578125,125.57868898521399,-1.0,586.2117919921875,556.0474470549939,576.7260131835938,107.65154063385063,-1.0,581.4699096679688,23,23,446.95321535580587,6.616173315509275,635.1526382888903,24.67213325148737,-215.32381175745127,57.101757035286184
1Item10,1.0681608808732876,1.1197326,0.2999922915487961,0.2701858,1.4888908,0.6054791822120174,0.5900246250000001,0.3048657619143409,-0.3284731,1.2813567,0.826938080699175,0.9275175849999999,0.40530381702550805,-0.23543106,1.4559048,1.2244464759059777,1.2455544,0.10503866030940158,0.87602365,1.4277654,0.8459773942543587,0.85863674,0.20049328459149948,0.33090636,1.1738753,0.16907332510756537,0.21254598,0.3242516587595658,-0.5575555,0.8930704,0.4510869795348692,0.5180027,0.32602373374048543,-0.26229164,1.042315,0.9995959944053548,1.1041241,0.18249165747618207,0.52982056,1.1041241,1.120050255986924,1.1178603,0.16570016437342042,0.7870007,1.4110665,0.21916825700435863,0.24277711,0.21556025236991375,-0.2814856,0.5176991,0.5144717229053549,0.5519989,0.2041112710506254,0.035180345,0.8611923,1.1449084133405978,1.1300588,0.061249146351229876,1.0235426,1.3145603,0.5937659559573475,0.5918003,0.09935511253179224,0.39163092,0.8502688,-0.2928313572972447,-0.29823205,0.12294994473187497,-0.544856,0.021290507,-0.1209227383625934,-0.09709053,0.10456484815213389,-0.34200117,0.08063974,1.3220362149595266,1.3406187,0.0622417680883171,1.132751,1.4632248,1,21.0424142,1,753.5465346534653,558.0,489.15078493751184,-1.0,1587.0,504.2633663366337,539.0,237.78860008124843,-1.0,1051.0,771.059801980198,578.0,491.7663480089235,-1.0,1571.0,505.33544554455443,548.0,239.15047156502044,-1.0,1011.0,0.13311445481706372,-1.0,1.794393590149988,-1.0,3.949539184570313,0.0832398186107673,-1.0,1.8204840636998394,-1.0,3.38995361328125,519.9071943165997,578.8544311523438,175.40324150376782,-1.0,585.6953125,513.1486319664681,575.0730590820312,178.69089609113607,-1.0,582.6094970703125,63,81,322.5707347132185,8.103427198848882,2698.441257216678,31.186753110472583,-75.25838159203607,64.92945912709732
1Item2,0.9608429223902331,0.9763815,0.2764595282003837,0.32782337,1.4084591,0.3656535046888441,0.396421285,0.4433846303149193,-0.4843246,0.98933744,0.6802434346440412,0.72547277,0.5259943821943802,-0.54903173,1.3735518,1.367405070810932,1.5108542,0.21293963014244885,0.9316475,1.5108542,0.8086851342853942,0.8435946999999999,0.22539666996532942,0.3078026,1.1749742,0.10349073765439516,0.07618077300000001,0.2530977048405159,-0.5183051,0.51083976,0.32601445942271506,0.35274197,0.3835476780087744,-0.41159916,0.88472205,0.8481617257078854,0.8707451,0.03812940582287263,0.7129554,0.8707451,1.1264932237477598,1.2777574,0.24292945086133796,0.57307506,1.3862123,0.1830332059451165,0.26899737,0.2627175670452684,-0.32280475,0.53978866,0.44028656270430105,0.46335773999999996,0.2526296388518869,-0.23179112,0.7764184,1.1186660115098566,1.2009155,0.12157314040851946,0.861911,1.2009155,0.5267592787410393,0.5499731800000001,0.08233056034361204,0.3179467,0.6630695,-0.38499046696012545,-0.38745186,0.08765563703271086,-0.5618421,-0.22568384,-0.21867080951512097,-0.21426249,0.12420117165640614,-0.506585,0.00874629,1.2727374047939068,1.2934303,0.030812898307813058,1.2013237,1.2934303,1,14.5972054,1,837.5553652968036,695.5,372.07999532101223,-1.0,1461.0,480.4263698630137,520.5,222.09019846572988,-1.0,1021.0,865.5907534246576,709.0,357.29648256535165,-1.0,1447.0,504.14383561643837,552.5,204.09179208501547,-1.0,992.0,0.14676885735498715,-1.0,1.8015729559933806,-1.0,3.6498870849609375,0.25375036997337863,-1.0,1.8997882702687903,-1.0,3.618667602539064,545.999649082689,581.7063598632812,140.24959314961464,-1.0,586.5244750976562,549.3909327537502,578.3601684570312,125.85997103459358,-1.0,581.8041381835938,44,45,417.90908120848866,5.050328082246816,1005.0152883671163,23.67762221115652,-148.16047999508984,51.597881098915856
1Item3,0.8823686315692124,0.84492064,0.23259342949527043,0.4886672,1.4644289,0.4689132229744829,0.58726555,0.3537252644470552,-0.35120827,1.0232937,0.805099545982498,0.8838911,0.3318727449952623,0.23975134,1.398768,1.0335016654534606,1.0483112,0.12899224953237046,0.9197797,1.3821212,0.6919012173229913,0.7351585,0.2146848154618068,0.22126392,1.0511317,0.10922642700059665,0.14536381,0.26000728299869735,-0.5150493,0.66073626,0.35505022100843275,0.41190752,0.320097868501657,-0.6074412,0.9011881,0.6399643075049721,0.7151005,0.20682904096211097,0.025930025,0.87100446,0.9352209481503581,0.9041061,0.2066497257048599,0.61979055,1.3568511,0.20882451361555288,0.23835593,0.2667960441209148,-0.3143561,0.57668173,0.4079619466475736,0.45428827,0.23971013848026868,-0.1556284,0.7949772,1.0001875785242642,0.95957583,0.10364151137357175,0.93361175,1.3051633,0.525848687746619,0.5250016,0.13819202576505218,0.23529327,0.8737639,-0.3516345740493238,-0.34946567,0.09133720817782591,-0.52477235,-0.17385377,-0.2070624243001193,-0.19631259,0.10991165079075756,-0.4396306,-0.006321914,1.2657175130270486,1.2613413,0.043797159923469595,1.1936541,1.4608159,1,16.4765655,1,905.7718765806778,850.0,496.97904901523754,-1.0,1598.0,469.903894790086,522.0,228.65605606169575,-1.0,1040.0,912.9878603945372,853.0,495.7855898139138,-1.0,1568.0,478.9873545776429,548.0,227.4624392669246,-1.0,1024.0,0.05519108634798225,-1.0,1.731725335737305,-1.0,3.80615234375,0.0389533035671946,-1.0,1.7774577076878153,-1.0,3.6454925537109375,531.1163849664205,580.0664672851562,162.2134757196818,-1.0,586.9707641601562,520.917207276996,576.9025268554688,171.23267079899182,-1.0,581.9559326171875,58,66,276.8521999379284,5.174702000406978,1324.7237121041865,26.22019561726393,-146.53162459946054,56.28909702346694
1Item4,0.804392900949804,0.7465691,0.25797237820558583,0.43870294,1.5170628,0.5384069694323568,0.6274265,0.31577565948908215,-0.25826836,1.0102402,0.6047195414995334,0.5311673,0.417323727507884,-0.47899523,1.3024703,1.2693740078802014,1.4323846,0.2376973460018109,0.891896,1.4744725,0.6891189236238104,0.6803524,0.226862352684904,0.13402557,1.2156385,0.10351593272457549,0.057448324,0.27539704368131124,-0.3774488,0.6224694,0.25346221493724574,0.22995062,0.3392410525829941,-0.6408954,0.8155902,0.8079400344597872,0.9414392,0.21238530711625908,0.4408495,0.9639733,1.035323961136406,1.0443803,0.1898343438173307,0.3629542,1.3674572,0.11948738614536294,0.17409512,0.24213973932915103,-0.3099556,0.4321181,0.37311532974192946,0.34199375,0.3194651998156777,-0.5568775,0.84468,0.9148567534969211,0.8365075,0.12426211015360461,0.8365075,1.2816231,0.5360724548945699,0.5364567,0.11319754196373817,0.3113265,0.77016705,-0.3957439129800336,-0.3992926,0.07101182666819232,-0.58726287,-0.24806076,-0.22288258258925173,-0.20733358,0.11712416263245588,-0.4812725,0.0006616266,1.2438548248927037,1.1940494,0.07793337272477319,1.1859709,1.476697,1,17.5460518,1,777.9320987654321,747.5,417.68422495562476,-1.0,1699.0,456.2630579297246,435.0,225.15176013234301,-1.0,1035.0,818.3105413105413,757.0,401.55231148967283,-1.0,1691.0,482.3285849952517,444.5,219.7812263764708,-1.0,1031.0,0.08000856202099284,-1.0,1.7672041197375365,-1.0,3.611602783203125,0.16516530615651706,-1.0,1.8492862445747797,-1.0,3.372283935546875,536.6943781926082,581.7183227539064,155.78806235160653,-1.0,587.9751586914064,542.9176311728395,577.5060424804688,136.67351818908125,-1.0,580.7698974609375,59,60,330.59002573445963,5.673720223150208,1424.1037760107022,25.169221426022258,-145.0180221827026,51.76309735751498
1Item5,0.819769822610999,0.80515915,0.33110170336470934,0.12898293,1.5462587,0.5552183800295156,0.55402124,0.3205386793634806,-0.3540833,1.2089424,0.737436774239783,0.8558065,0.42472114221726437,-0.76566595,1.3101717,1.1852610623171038,1.0988221,0.2593027274243186,0.8000405,1.5644902,0.5934725501589304,0.58980197,0.24679052701363083,0.17617355,1.094633,0.1392872866898398,0.14269759,0.2127279682813109,-0.29169813,0.5629966,0.37169971513244193,0.409836,0.3087383998719476,-0.5556856,0.9272851,0.9382308542091322,0.9414392,0.1881982763640063,0.62681323,1.1892272,1.0244506400227043,1.0047599,0.17745502616169298,0.5713663,1.392767,0.24385648509504287,0.2859438,0.16446745890999612,-0.3190173,0.49052152,0.44139010576879417,0.51134104,0.22686692847323817,-0.31781748,0.7329701,1.178520974788093,1.222088,0.19054914409261403,0.7858124,1.5597146,0.5473491280095862,0.55097115,0.10493515787732947,0.31805882,0.754075,-0.3762150350479314,-0.3828658,0.08681553847597545,-0.5471498,-0.23154896,-0.20449346081823916,-0.21121728,0.12692298541317448,-0.410314,0.1374896,1.3074336452447024,1.3245142,0.06698217465677359,1.1228582,1.4280728,1,26.0444801,1,788.18272,616.0,479.8038854149772,-1.0,1662.0,484.74848,480.0,175.78281682027446,-1.0,1031.0,803.80896,635.0,462.47869970299814,-1.0,1623.0,499.39648,495.0,176.55342341408092,-1.0,1014.0,0.1722497607421875,-1.0,1.8169589539006867,-1.0,3.936920166015625,0.2263954345703125,-1.0,1.8773362501696023,-1.0,3.743316650390625,552.6863065625,580.3920288085938,124.37175053089092,-1.0,587.9633178710938,549.7059241796875,576.3278198242188,121.08576220625567,-1.0,584.4061279296875,76,83,379.8516298083966,6.537363272092736,2288.0771452324575,24.34170635313043,-50.21243067334142,54.204720988013186
1Item6,0.7533243496267553,0.750042,0.2901516049527566,0.2186446,1.2459643,0.6894831167960089,0.70010614,0.24913147723439405,0.14108732,1.1260285,0.9479618064971915,1.0849032,0.413263001807352,0.0070748464,1.4613574,0.9710224280007391,1.0121439,0.12957999547334967,0.7626984,1.2214345,0.6166810176274945,0.6042004,0.23886071538799825,0.23206246,1.034927,0.179680662845898,0.25852162,0.23806877990921346,-0.24713036,0.5085728,0.476571067018847,0.5687065,0.3533629768301981,-0.33945647,0.8610259,0.7604154483481154,0.62820125,0.2430258064171637,0.4956225,1.1178806,0.9997577189874353,0.98399657,0.12532447087303503,0.75264996,1.2238357,0.2740455495691057,0.31728518,0.17017470258962913,-0.075001284,0.47922525,0.494115108,0.58520955,0.3079009472478397,-0.26762572,0.84261584,1.087819194752402,1.1673013,0.21268313556827761,0.7732092,1.2995458,0.5236725972099039,0.51145315,0.07979898163925939,0.38895103,0.70076525,-0.385831531067997,-0.36055866,0.09146504598376282,-0.53825575,-0.23074833,-0.22546150734999998,-0.27968186,0.15568979080697873,-0.49479365,0.009312133,1.3751125445306727,1.3808789,0.061492115164707824,1.2496662,1.4611087,1,8.7654347,1,680.606463878327,647.0,403.6925626441509,-1.0,1417.0,440.62642585551333,441.0,195.53146533152133,-1.0,1018.0,709.7538022813688,657.5,402.9920318921862,-1.0,1434.0,455.7100760456274,457.0,193.25838063884655,-1.0,1014.0,0.08617797097325777,-1.0,1.7697558565611013,-1.0,3.7867431640625,0.14918420885905564,-1.0,1.8259703324079586,-1.0,3.395614624023437,532.4478682021224,580.0730895996094,160.26930295080228,-1.0,586.9727783203125,530.4974118656985,576.7300415039062,156.6744338429152,-1.0,585.9057006835938,28,31,323.981977386361,5.79868589317201,759.6278520055333,26.135562417425312,-81.0572290010063,55.48379595101938
1Item7,0.9010175142904655,0.900307,0.3437827214063931,0.3042703,1.4939085,0.4321852446304509,0.46753827,0.22003549586638815,0.058411013,0.79598767,0.71273319109017,0.65167105,0.3150587206062906,0.11784729,1.1659845,0.7583679972838139,0.6485589,0.11565907944518178,0.6200808,0.9795321,0.7385372201182557,0.7857634,0.28685082302185416,0.28894177,1.2024336,-0.0026252023122320775,0.004263906,0.16259209573080743,-0.36173236,0.3104862,0.2834292262642276,0.29093093,0.22101002354325003,-0.36075252,0.5735298,1.0108492502734663,0.9653571,0.08407314192090895,0.7900738,1.1178806,1.0370434064597192,1.071925,0.11892218228000212,0.7700663,1.1880615,0.12305676669951958,0.10339936,0.09368024555120928,-0.14420909,0.27608335,0.3881406457839246,0.4647084,0.19263868809281992,-0.039227918,0.5961928,1.2088632827420545,1.1175699,0.10024663432222852,1.0071017,1.3665607,0.5395534992756836,0.5456376000000001,0.05960409737463305,0.43214795,0.6506302,-0.3440490564375462,-0.34242490000000003,0.09785831169756144,-0.5557462,-0.13091566,-0.20498569499434588,-0.19607517,0.14389563856089285,-0.43759707,0.056989733,1.347199447856615,1.2880565,0.07976946882535821,1.2823722,1.4563264,1,8.8984063,1,584.2799625468165,388.0,468.17421729784985,-1.0,1619.0,472.50187265917606,462.0,221.9599181042599,-1.0,1019.0,581.62265917603,418.0,454.0046498154265,-1.0,1586.0,463.82865168539325,464.5,227.1209844087895,-1.0,1011.0,0.019697953699233366,-1.0,1.7250417349338336,-1.0,3.8469085693359375,0.07202622774388458,-1.0,1.800553405002806,-1.0,3.53741455078125,525.5395418088534,578.1785583496094,167.45656868719345,-1.0,586.0446166992188,510.38715405410596,576.2584533691406,183.7602471660615,-1.0,588.1065673828125,25,29,391.9885410857099,7.198830047767984,741.4794949201024,26.19192027770662,-34.78171156569043,58.01628899327908
1Item8,0.8622382252409397,0.9538947499999999,0.35273754806268887,0.1658657,1.4211844,0.2883087297826882,0.452520025,0.5648469819681287,-0.8612756,0.96695507,0.6378296497423338,0.8290247,0.5580033180210869,-0.4382754,1.3460118,1.0526426851373956,1.05545735,0.21539702888773282,0.4868487,1.3298128,0.767938930350458,0.80615133,0.2642998813576701,0.18444104,1.2023553,0.023315519024332935,0.13623933,0.37153436555292085,-0.6904454,0.56608146,0.3319646894312087,0.434549765,0.41557205511542095,-0.529354,0.95766884,0.8661640867124651,0.91215754,0.19977384319075234,0.5384813,1.2778548,1.1126899573715652,1.1496171,0.1773905406917721,0.66794646,1.3767081,0.17031202010334529,0.27760154000000004,0.2548714544063547,-0.43603662,0.49938056,0.4134068238205894,0.5616315,0.35254297566331755,-0.32573617,0.82633793,1.1531426720828355,1.1477698,0.0823958334528012,0.8709524,1.2825742,0.5405153167542811,0.53317165,0.06830326024960157,0.42463362,0.67702776,-0.37975924003584227,-0.37573095,0.10155725573091606,-0.62522304,-0.19358604,-0.24818960168478696,-0.207149615,0.13205089047772728,-0.5726672,-0.040845513,1.348986434707288,1.3521758,0.04851983496592831,1.211634,1.5056832,1,16.4553996,1,748.4526582278481,672.0,493.65903395485435,-1.0,1598.0,423.70025316455695,358.0,226.66731839170447,-1.0,1010.0,780.3027848101266,689.0,488.19355669832896,-1.0,1591.0,435.9792405063291,375.0,219.56029807967838,-1.0,993.0,0.07176219312450552,-1.0,1.7649441406365818,-1.0,4.04620361328125,0.1736651997626582,-1.0,1.8514166783933963,-1.0,3.76837158203125,523.93197967143,578.7391357421875,169.82734782204105,-1.0,585.0733032226562,523.5788280631922,575.3966064453125,165.15568884023332,-1.0,586.7146606445312,43,49,483.7676619280017,7.724141691261368,1737.9318805338078,25.968446434635236,-68.99855296825992,58.07389039364393
1Item9,1.0185770667854719,0.977372,0.28026876887387286,0.49622032,1.7049049,0.7300053166639511,0.7705938,0.36970133828037965,-0.7395564,1.2344623,0.9711090357291243,1.0134058,0.2672290448841017,-0.1889347,1.3788248,0.7961359775084861,0.68170583,0.1553051107870226,0.5754372,1.0732975,0.8407040998302784,0.7638894,0.25235527961634285,0.4180422,1.3769759,0.44289160598392396,0.51822597,0.3336999353975545,-0.33991507,0.9183846,0.617123943385947,0.64359957,0.23940720585847688,-0.3979359,0.91800404,0.9687912636761711,1.0576847,0.23676463537509498,0.37173924,1.180346,1.0583502553971487,1.1103923,0.23437812724256868,0.68126845,1.4237229,0.45485268633978276,0.4874507,0.22749996246223053,-0.099533066,0.7590021,0.6165098702797013,0.62159145,0.15639201811381737,-0.101935536,0.84966725,1.2337572420706042,1.2724415,0.08206234841580672,0.97585154,1.3944405,0.6153684050339443,0.6075317,0.06518550470227359,0.49678922,0.79677105,-0.34639759090970806,-0.33065352,0.06582200625263405,-0.6092938,-0.25482163,-0.27028415834351666,-0.26232553,0.09296640579362393,-0.57101244,-0.13265164,1.3440085246775288,1.341249,0.045970622572794925,1.2095163,1.4028598,1,9.6594295,1,748.9723899913719,631.0,447.04810078824437,-1.0,1653.0,463.52717860224334,455.0,219.80240556097687,-1.0,1028.0,785.709232096635,686.0,429.3033648966496,-1.0,1657.0,485.89646246764454,475.0,207.94430463541806,-1.0,1009.0,0.06807515865980909,-1.0,1.7641546244773734,-1.0,3.9820709228515625,0.15644520454307995,-1.0,1.8507265325696167,-1.0,3.5585174560546875,525.0922372865718,579.3361206054688,169.5887320133278,-1.0,585.431640625,530.8601599784633,575.01025390625,153.46400562294727,-1.0,578.5699462890625,31,33,345.90502454081457,7.329645744512499,1033.4800499762623,28.137391667013798,-120.57158953796929,60.68212919059804
